escola_lista,escola_db,lista_total,lista_ativo,lista_inativo,db_total,db_ativo,db_inativo,diferenca_total,status
STS36693/22 - SEDUC UME HILDA D'ONÓFRIO PAPA,STS36693/22 - SEDUC UME HILDA D'ONÓFRIO PAPA,9,9,0,5,5,0,-4,DIFERENÇA
STS36693/22 - SEDUC UME HILDA RABAÇA,STS36693/22 - SEDUC UME HILDA RABAÇA,10,0,10,10,0,10,0,MATCH
STS36693/22 - SEDUC UME ILHA DIANA,STS36693/22 - SEDUC UME ILHA DIANA,9,8,0,8,8,0,-1,DIFERENÇA
STS36693/22 - SEDUC UME IRMÃ MARIA DOLORES,STS36693/22 - SEDUC UME IRMÃ MARIA DOLORES,9,7,0,9,7,2,0,MATCH
STS36693/22 - SEDUC UME IRMÃO JOSÉ GENÉSIO,STS36693/22 - SEDUC UME IRMÃO JOSÉ GENÉSIO,31,31,0,31,31,0,0,MATCH
STS36693/22 - SEDUC UME JOÃO WALTER SAMPAIO SMOLKA,STS36693/22 - SEDUC UME JOÃO WALTER SAMPAIO SMOLKA,25,25,0,51,25,26,26,DIFERENÇA
STS36693/22 - SEDUC UME JOSÉ BONIFÁCIO,STS36693/22 - SEDUC UME JOSÉ BONIFÁCIO,38,6,0,37,5,32,-1,DIFERENÇA
STS36693/22 - SEDUC UME JOSÉ CARLOS DE AZEVEDO JUNIOR (NOVO),STS36693/22 - SEDUC UME JOSÉ CARLOS DE AZEVEDO JUNIOR (NOVO),60,32,0,32,32,0,-28,DIFERENÇA
STS36693/22 - SEDUC UME JOSÉ DA COSTA BARBOSA,STS36693/22 - SEDUC UME JOSÉ DA COSTA BARBOSA,19,19,0,19,19,0,0,MATCH
STS36693/22 - SEDUC UME JUDOCA RICARDO SAMPAIO,STS36693/22 - SEDUC UME JUDOCA RICARDO SAMPAIO,38,38,0,38,38,0,0,MATCH
STS36693/22 - SEDUC UME LAURIVAL RODRIGUES,STS36693/22 - SEDUC UME LAURIVAL RODRIGUES,13,13,0,12,12,0,-1,DIFERENÇA
STS36693/22 - SEDUC UME LEONOR MENDES DE BARROS,STS36693/22 - SEDUC UME LEONOR MENDES DE BARROS,26,26,0,26,26,0,0,MATCH
STS36693/22 - SEDUC UME LOURDES ORTIZ,STS36693/22 - SEDUC UME LOURDES ORTIZ,37,37,0,36,36,0,-1,DIFERENÇA
STS36693/22 - SEDUC UME LUIZ ALCA DE SANT'ANNA,STS36693/22 - SEDUC UME LUIZ ALCA DE SANT'ANNA,14,14,0,13,13,0,-1,DIFERENÇA
STS36693/22 - SEDUC UME LUIZ CARLOS PRESTES,STS36693/22 - SEDUC UME LUIZ CARLOS PRESTES,23,23,0,23,23,0,0,MATCH
STS36693/22 - SEDUC UME LYDIA FEDERICI,STS36693/22 - SEDUC UME LYDIA FEDERICI,22,21,0,22,21,1,0,MATCH
STS36693/22 - SEDUC UME MARGARETH BUCHMANN,STS36693/22 - SEDUC UME MARGARETH BUCHMANN,18,18,0,17,17,0,-1,DIFERENÇA
STS36693/22 - SEDUC UME MARIA LÚCIA PRANDI,STS36693/22 - SEDUC UME MARIA LÚCIA PRANDI,18,17,0,10,10,0,-8,DIFERENÇA
STS36693/22 - SEDUC UME MARIA PATRÍCIA,STS36693/22 - SEDUC UME MARIA PATRÍCIA,20,20,0,20,20,0,0,MATCH
STS36693/22 - SEDUC UME MARTINS FONTES,STS36693/22 - SEDUC UME MARTINS FONTES,28,28,0,28,28,0,0,MATCH
STS36693/22 - SEDUC UME MONTE CABRÃO,STS36693/22 - SEDUC UME MONTE CABRÃO,33,32,0,29,28,1,-4,DIFERENÇA
STS36693/22 - SEDUC UME NOEL GOMES FERREIRA,STS36693/22 - SEDUC UME NOEL GOMES FERREIRA,21,20,0,21,20,1,0,MATCH
STS36693/22 - SEDUC UME OLAVO BILAC,STS36693/22 - SEDUC UME OLAVO BILAC,40,33,0,40,33,7,0,MATCH
STS36693/22 - SEDUC UME OLÍVIA FERNANDES,STS36693/22 - SEDUC,26,26,0,24,23,1,-2,DIFERENÇA
STS36693/22 - SEDUC UME ORLANDO ADEGAS,STS36693/22 - SEDUC UME ORLANDO ADEGAS,17,17,0,16,16,0,-1,DIFERENÇA
STS36693/22 - SEDUC UME PADRE FRANCISCO LEITE,STS36693/22 - SEDUC UME PADRE FRANCISCO LEITE,15,15,0,15,15,0,0,MATCH
